word,value
ale,89.94
ali,32.26
a,99.35
akesi,98.77
ala,100.00
alasa,99.08
anpa,99.31
ante,99.46
anu,99.04
awen,99.27
e,99.96
en,99.00
esun,98.23
ijo,99.54
ike,99.85
ilo,99.69
insa,99.50
jaki,99.27
jan,99.58
jelo,99.58
jo,98.66
kala,99.39
kalama,99.77
kama,99.54
kasi,99.50
ken,99.81
kepeken,99.62
kili,99.42
kiwen,99.46
ko,99.23
kon,99.23
kule,99.35
kulupu,99.81
kute,99.58
la,99.85
lape,99.77
laso,99.00
lawa,99.42
len,99.19
lete,99.08
li,99.88
lili,100.00
linja,99.46
lipu,99.69
loje,99.42
lon,99.65
luka,99.69
lukin,99.27
lupa,98.85
ma,99.77
mama,99.85
mani,98.58
mi,99.88
moku,99.96
moli,99.39
monsi,98.73
mu,98.62
mun,99.39
musi,99.88
mute,99.96
nanpa,99.54
nasa,99.46
nasin,99.65
nena,98.81
ni,99.88
nimi,99.88
noka,98.85
o,99.92
olin,99.73
ona,99.62
open,99.73
pakala,99.81
pali,99.58
palisa,99.16
pan,99.12
pana,99.54
pi,99.31
pilin,100.00
pimeja,99.77
pini,99.54
pipi,99.42
poka,98.62
poki,99.19
pona,100.00
pu,96.31
sama,99.42
seli,99.39
selo,98.43
seme,99.77
sewi,99.19
sijelo,99.08
sike,99.50
sin,99.46
sina,100.00
sinpin,98.58
sitelen,99.69
sona,99.96
soweli,99.96
suli,99.58
suno,99.54
supa,98.81
suwi,99.54
tan,99.42
taso,99.42
tawa,99.92
telo,99.92
tenpo,99.81
toki,100.00
tomo,99.81
tu,99.58
unpa,98.39
uta,99.08
utala,99.58
walo,99.50
wan,99.81
waso,99.27
wawa,99.81
weka,99.12
wile,99.77
apeja,23.35
epiku,52.92
isipin,18.59
jasima,43.16
kapesi,18.59
kijetesantakalu,74.58
kiki,28.80
kin,82.80
kipisi,67.09
kokosila,31.41
ku,70.35
lanpan,58.29
leko,70.05
linluwi,34.22
majuna,34.25
meli,81.72
meso,51.92
mije,81.53
misa,13.21
misikeke,60.14
monsuta,83.29
n,70.43
namako,69.59
nimisin,34.56
oke,23.96
oko,57.07
omekapo,19.70
pake,13.06
powe,23.27
puwa,17.40
soko,62.60
taki,14.25
te,14.21
to,13.75
tonsi,82.83
unu,15.75
usawi,22.08
wa,17.36
wuwojiti,22.47
yupekosi,21.58
aka,0.96
ako,0.38
alente,2.23
alu,3.23
awase,1.38
eki,0.58
enko,3.88
ete,4.22
ewe,1.46
i,1.23
iki,1.00
ipi,1.23
itomi,1.08
jaku,1.27
jalan,0.92
jami,6.11
jans,0.92
je,2.50
jonke,4.92
ju,0.61
jule,4.03
jume,2.69
kalamARR,4.34
kalijopilale,1.57
kamalawala,9.79
kan,3.96
kapa,1.04
ke,1.73
kepen,2.61
kese,2.00
ki,1.50
kisa,4.38
konsi,0.81
konwe,7.07
kosan,1.50
kulijo,6.68
kulu,1.69
kuntu,3.23
kutopoma,0.27
lijokuku,0.35
likujo,4.30
lo,0.65
loka,1.15
lokon,0.50
lu,0.50
melome,7.22
mijomi,6.95
molusa,3.57
mulapisu,6.22
nalanja,3.23
natu,2.73
neja,1.19
nele,2.07
nja,9.18
nu,0.58
ojuta,5.61
okepuma,2.19
oki,3.99
omekalike,3.46
omen,1.73
oni,1.96
owe,5.38
pa,3.46
pasila,3.07
pata,4.34
peta,1.69
peto,2.46
pika,4.76
Pingo,4.34
pipo,2.15
po,5.11
polinpin,3.96
pomotolo,1.96
poni,2.19
samu,1.15
san,9.18
sikomo,1.65
sipi,0.81
slape,1.77
soto,5.61
su,0.46
suke,0.42
sutopatikuna,8.49
teje,5.61
ten,1.08
tokana,1.57
toma,0.31
tuli,2.27
u,0.92
umesu,1.04
waleja,2.76
wasoweli,6.03
wawajete,3.84
we (particle),0.92
wekama,4.57
wi,0.81
yutu,1.65
aku,0.69
aleta,0.31
an,0.12
anta,0.73
ata,0.31
inta,0.31
kana,0.81
kasan,0.42
lapan,0.88
likono,0.12
ne,0.19
nowi,0.69
sali,0.23
se,0.35
siwala,0.38
sole,0.38
ta,1.08
teki,0.42
ulu,0.42
antikontitutonelema,0.27
apelo,0.61
kalapisituji,0.38
kikolo,0.96
kikulo,0.31
kokoliko,0.61
kosikosa,0.50
masalo,0.42
olala,0.92
panke,0.65
pipolo,0.46
sapelipope,0.50
sikako,0.58
wiwi,0.81
aki,0.15
api,0.19
apowesi,0.88
asen,0.15
awa,0.23
eliki,2.65
enepi,0.81
inisa,0.12
konsuno,0.58
lajotu,0.12
lose,0.04
mamasi,0.38
matu,0.08
nali,0.00
onono,0.08
otomalasi,0.04
pakola,2.76
papa,0.61
pataka,0.00
salo,0.00
si\i\ilapa,0.35
sipije,0.12
tankala / tenkala,0.50
tapuje,0.08
teken,0.35
tona,0.50
towoki,1.04
waken,0.35
wasa,0.04
we (content word),1.50
